Protein,AMIKACIN,AMP,AZITHROMYCIN,BDQ,CAP,CEF,CHLORAMPHENICOL,CIPROFLOXACIN,CLARYTHROMYCIN,CLOFAZIMINE,CPZ,CYCLOSERINED,DELx,DOXYCYCLINE,ECONAZOLE,EMB,EMBx,ERY,ETA,ETHIDIUMBROMIDE,FUSIDICACID,INH,Kanamycin,LEVO,LINEZOLID,LZDx,MENADIONE,MINOCYCLINE,MTM,Moxifloxacin,NIGERICIN,NITROFURANTOIN,NORFLOXACIN,NOVOBIOCIN,OFLOX,OFX1,OXA,PA824,PBTZ169x,RIF,ROX,SM,SPECTINOMYCIN,SQ109,SUTx,TET,THZ (1hrMIC),TRZ,TUNICAMYCIN,VANCOMYCIN,VERAPAMIL,VERx
I6Y0R5,438789.5042,372581.835,317785.4296,164199.1152,528320.4199,422277.3889,674060.9379,54277.21243,264000.6981,36646.47976,75362.60427,537349.2424,179236.438,263836.0929,61668.07928,671819.2546,671819.2546,259527.6981,888202.9634,145178.0754,277186.886,948161.9994,634546.5318,74673.6555,549411.7103,549411.7103,439978.7465,296654.3477,366889.8674,66862.85326,501560.8323,457378.3535,66675.53177,166581.4981,74673.6555,74673.6555,431625.6821,203924.0705,176856.2646,76204.34986,200453.2317,585199.5945,216066.2215,616434.6941,306552.039,263861.6484,1455707.863,83272.31784,437171.5132,100901.6707,117256.289,117256.289
I6Y2J4,512702.8589,651629.5714,450212.0526,110604.2232,390453.666,542508.057,1287608.552,176098.2267,522300.2786,253658.7762,251078.8865,1193598.501,308994.3673,402937.7081,160111.3671,583185.2694,583185.2694,524077.2786,1230889.561,188980.2273,466957.3787,835556.5673,519242.9488,106255.5785,353916.1146,353916.1146,494236.2373,410263.8747,443543.3734,111867.8952,433193.6902,1178253.15,113389.4161,154705.1895,106255.5785,106255.5785,676682.4694,338360.1858,269105.5215,110401.7109,424336.7311,464301.3583,442786.3858,382560.7149,562895.3791,410252.3747,1599556.991,77941.89945,486456.096,97565.7497,78539.32958,78539.32958
I6Y3Q0,548874.4039,382097.2836,532235.777,124070.3194,630796.8875,280633.7799,845176.9178,69969.02261,430771.1011,103793.178,220741.8603,676757.6487,170008.1333,490831.5251,43608.80712,1003428.397,1003428.397,432553.2821,1080591.884,245038.9331,471596.4732,928041.5056,736516.7082,68276.32833,669299.6327,669299.6327,677967.862,493597.5858,377281.1099,102681.2116,590488.068,685684.844,80482.10561,157007.2571,68276.32833,68276.32833,520876.6434,197302.8772,182603.2334,105896.0137,409482.5398,506900.2219,408749.3333,804040.5261,495174.7514,485047.4174,1625109.187,83595.41392,518186.9176,85271.2767,128786.4694,128786.4694
I6Y4D2,438064.0208,284319.9992,339355.2324,47212.45506,419107.0889,286472.7929,762963.8336,42458.77342,348163.3138,34724.0755,64000.29367,793585.7817,162681.1385,407342.1579,18508.17223,1797835.674,1797835.674,353362.7838,1800828.174,141649.2137,378876.8561,852490.6385,471155.4756,44710.56446,620717.0249,620717.0249,460226.0745,454629.0407,239262.5481,43766.37083,556294.9795,456457.6714,41151.81969,99431.4937,44710.56446,44710.56446,531484.4787,186057.0037,129328.1278,40190.23262,185269.403,528823.368,398375.1976,480762.143,800006.5216,402685.4093,1855827.495,48179.46392,568944.2096,41785.10205,48423.02079,48423.02079
I6Y4U9,376083.5845,433759.6467,210081.4087,59429.56617,421099.5069,252584.0651,509810.2109,28701.48408,302093.9676,62804.13865,191042.0633,583314.2339,113871.8338,309174.1423,74042.06759,497374.7401,497374.7401,297683.3076,1026395.147,184885.0859,172945.8471,726108.8204,274380.3315,25354.41443,280200.6924,280200.6924,405332.388,289325.0663,232819.6202,29107.62356,186676.3743,577338.219,28616.86277,92662.96223,25354.41443,25354.41443,253085.3407,114822.2565,140348.3458,29458.57883,312947.4812,227854.2238,121807.993,258104.6773,202153.7799,221187.7141,2009206.674,69777.58844,315325.4625,36118.1021,80372.11316,80372.11316
I6Y778,148695.2837,134753.7827,155039.8144,76009.15396,185575.6289,164199.5297,373813.4774,79771.57377,147805.0242,43745.6877,102156.0573,146347.9981,93235.18581,229824.537,46583.27591,262845.1081,262845.1081,155151.5857,413895.3481,89201.37472,153063.6124,160752.3443,187664.6873,104183.2122,348460.774,348460.774,253939.3482,270705.7163,156405.8957,65994.16057,158782.8823,329914.7392,76891.0416,148809.3427,104183.2122,104183.2122,154348.9311,102906.2866,105473.6954,91510.56539,136092.3066,142677.7224,184337.8035,201152.3825,111702.7755,215506.7999,704969.0343,64893.08707,195906.7264,85543.78333,96105.5583,96105.5583
I6Y9J2,230165.9736,310314.8513,152439.6322,64399.48555,318277.8225,118087.1209,713891.3279,28437.58029,180768.9725,34083.47647,64583.88367,503482.7843,63970.60693,85396.65567,38560.17569,457397.7842,457397.7842,180915.9225,708847.4952,84686.06461,193402.6196,516723.2987,170330.1881,35056.41741,134431.0342,134431.0342,240746.3324,135438.3495,159944.3928,29853.63781,183708.7554,711964.1899,29145.05582,91400.57381,35056.41741,35056.41741,505402.5027,61449.6117,60916.75503,81845.81991,243111.1135,133986.5861,112768.3861,194098.9873,547078.8372,85625.32087,920068.3088,54045.31597,146496.1418,54639.56071,96404.6486,96404.6486
I6Y9Q3,240161.3428,248862.3993,135353.1117,79201.68066,273494.405,107068.3141,1080621.77,17634.09057,134072.506,21096.56645,148046.6891,522731.2125,48397.33964,111581.0966,70799.2571,325727.8999,325727.8999,135047.434,666373.3987,123644.0185,65717.41592,703550.9936,227564.3607,25522.6219,156075.227,156075.227,133774.5297,194246.6169,100501.2402,14640.90387,88204.06663,1161995.011,13243.4393,69675.39412,25522.6219,25522.6219,120524.7837,66699.68003,50130.44347,23439.77163,164044.1829,158552.7128,113110.962,246077.8743,160519.5723,155499.2745,1085317.449,49186.22933,170334.7095,34912.32114,88911.35618,88911.35618
I6YBQ3,497061.4933,1727638.708,1017612.101,1255768.421,851562.1913,667829.0702,1570878.3,849134.594,983404.8519,671198.9972,1743905.029,1288135.04,1273331.069,1245552.418,922833.8967,2023199.49,2023199.49,1031101.196,1440757.855,1102779.715,723601.2886,1394880.339,526510.8267,1455206.343,1100010.16,1100010.16,992617.2519,1268621.13,581957.8814,1337424.773,1837002.484,1244812.59,953763.205,910032.5292,1455206.343,1455206.343,1721794.578,1274745.447,880851.4944,1738815.938,1205558.839,1045720.829,883516.1799,1965351.253,1413689.367,1137111.43,1155917.514,826994.5919,675197.4656,1005813.281,2194058.527,2194058.527
I6YCA3,471490.4777,288900.719,319918.4141,55439.95107,631769.7719,487142.8867,227843.1373,58066.421,328352.5509,229113.9788,327682.542,408278.2684,38395.78627,341577.6989,138044.6715,501162.5657,501162.5657,342343.5124,754546.6791,279831.3393,363690.6953,422827.9873,605401.9426,83022.249,626660.008,626660.008,578239.1496,341644.2419,372320.8176,58154.1047,419671.367,318697.7729,57168.516,94037.428,83022.249,83022.249,229551.4046,42285.56293,40122.8027,13742.08433,367632.1651,312786.0657,278623.7404,595689.5175,106756.1132,326461.2707,1129642.506,102475.7383,409691.1324,10017.64467,218884.1279,218884.1279
I6YFP0,129858.0044,1694665.602,1341558.685,1327120.51,375354.0623,813345.0673,1461614.648,800245.6243,1314729.871,868398.8773,1622547.364,1382340.932,1147109.921,1290668.323,707268.1567,1091906.1,1091906.1,1357016.015,1062329.94,1109922.547,1308871.416,1053740.764,193643.4863,1476817.659,982079.5615,982079.5615,1297938.14,1167544.415,137849.4277,1325972.269,2503828.016,1241224.51,890018.6141,928204.8673,1476817.659,1476817.659,1680575.664,1207643.225,522802.0024,1779563.852,1010421.542,1662717.752,1203813.724,1510972.274,1103441.573,1046871.715,1018410.612,973581.23,819626.606,846390.0607,2011700.457,2011700.457
I6YG32,2219749.655,1471307.736,1420743.995,193600.408,2189491.678,1520605.826,1530417.494,69317.59711,1293974.625,921408.636,707105.6703,1905251.306,497280.5924,1251420.272,865660.025,2725647.287,2725647.287,1293971.925,2512723.538,1343730.313,1519977.794,2174765.368,2245238.425,89001.70445,1991169.868,1991169.868,1691427.789,1153018.31,1214628.599,69223.21211,2079203.172,1512406.395,69196.58611,70005.42905,89001.70445,89001.70445,826686.4067,602582.207,333364.8914,33454.34938,1260189.696,1975185.946,1291205.258,2447598.303,710929.482,1249986.286,3277265.906,118264.2883,1876493.801,20450.65975,322292.4473,322292.4473
I6YHB0,1648166.867,2161980.147,1952407.335,838208.308,1750086.446,1528553.572,1254000.9,83772.88237,2170742.463,270927.3148,217247.9118,2506193.456,731232.4431,1991703.079,660452.7062,1334634.337,1334634.337,2170841.963,1521226.871,364560.1363,1872031.571,2634300.749,1683088.695,342932.3041,1241421.941,1241421.941,1688847.975,1957034.657,2061723.107,168205.6217,1807891.486,1403347.835,84079.28033,1177298.239,342932.3041,342932.3041,3306578.231,582222.5867,338195.4887,487279.4605,1816705.555,1754144.551,1971165.715,1564244.911,3860126.787,1988551.017,2243760.327,391638.6869,1569915.22,1132163.507,1068688.472,1068688.472
L0T905,836773.6885,2313974.541,1624200.915,1161468.4,1360918.667,1069567.855,2290437.324,1031100.768,1478251.158,826451.298,1989784.869,2179594.353,1655400.683,1349037.78,1104835.411,2579623.757,2579623.757,1470217.302,2259929.849,1264125.35,1432284.239,2128494.356,992831.6663,1494091.597,1330290.249,1330290.249,1389896.651,1417157.78,1241583.636,1381797.098,2090739.822,1925263.132,1145480.707,884007.8653,1494091.597,1494091.597,2445898.079,1661187.787,1409214.586,1846101.081,1317813.421,1688497.556,1284577.514,2166016.977,1973334.449,1299851.61,2134205.478,915639.9925,1121553.666,1136945.982,2203718.127,2203718.127
L0T911,130283.7745,573774.5266,210839.1481,49858.55357,145791.1761,301483.2128,442380.3106,30028.85366,250390.277,15598.82073,63106.27,564361.3575,25143.71332,277806.762,28731.52247,674388.4565,674388.4565,252710.277,973169.0587,106410.8436,306352.3162,623640.923,191360.9439,19342.68081,220747.655,220747.655,425308.2032,302588.2141,220730.1789,23865.60095,212324.7821,393681.0836,31423.3332,60448.72586,19342.68081,19342.68081,253822.1337,25894.20353,33074.003,16939.46405,166653.8747,247144.1146,221354.4323,228777.0342,347527.6141,270822.9897,1238704.277,24111.46717,165937.8438,40187.52934,72138.18857,72138.18857
L0TC47,2414690.031,563538.9294,2335140.39,148393.117,2256314.284,1810267.275,780563.8852,56990.52945,2573376.953,75710.93597,143505.9781,1025637.952,164404.4846,2100246.469,75127.61943,1272598.642,1272598.642,2567676.953,1957551.467,152008.3127,2419972.695,1124754.37,2603871.351,74529.27497,2016426.665,2016426.665,2142320.029,2112389.814,2813447.576,42306.78438,2710432.859,665060.5932,58256.93695,183322.3958,74529.27497,74529.27497,433939.2641,154172.1793,132147.0698,46074.21783,2293750.962,2557434.015,2336379.867,2542044.414,363172.2063,2093551.226,3181213.39,74160.17505,2080892.566,140642.6918,148133.7586,148133.7586
O05306,1325175.613,1207892.375,1326250.193,88141.00713,1342399.275,1295575.366,622847.0257,63220.77948,1240558.273,85797.83414,110486.797,1601178.255,118402.7924,1006855.607,115505.8682,805496.2669,805496.2669,1234356.763,999271.1654,125866.4675,1146103.446,1411492.368,1459040.401,87023.88986,1131281.842,1131281.842,1165050.118,984469.4963,1725771.478,63798.8489,1083775.114,719076.6102,63901.87981,91695.47096,87023.88986,87023.88986,771678.1795,118626.3257,358025.0945,72026.10753,1308765.238,1168633.963,1140908.615,1484885.887,701132.6284,948317.7096,1273454.115,89684.34022,863309.3763,92649.80354,112790.8145,112790.8145
O05307,256414.9135,457552.065,119315.1768,87629.51106,276064.2403,108593.013,350008.0146,17296.92083,111408.404,14401.85106,126571.1021,509971.1883,129667.8792,98560.03178,45196.85441,599413.6872,599413.6872,111773.3555,294871.3939,99723.03298,212687.2788,411727.4303,154256.9647,35676.42807,181754.882,181754.882,200302.4863,113591.2102,228677.3294,22046.83019,208323.3847,423154.1732,16387.34361,78874.62717,35676.42807,35676.42807,234967.1073,142698.237,133011.1616,48750.96424,212667.863,124645.1328,109973.0226,342380.589,342052.482,96085.03104,586395.1681,42588.652,173482.2756,13456.7794,70020.87983,70020.87983
O05442,176588.8147,189256.1296,213287.2457,75154.23266,210680.2509,234153.9659,433283.2683,70871.4096,201009.1993,62067.63001,106429.6654,337021.9236,192969.8368,206732.9254,55444.83582,191684.1926,191684.1926,206099.1993,1621789.969,191053.9963,205405.0593,416758.9069,180768.2529,64607.03395,260313.1816,260313.1816,223703.1428,249020.7865,182202.7084,63209.33695,223341.0106,457871.432,70435.87085,153890.685,64607.03395,64607.03395,280884.1445,204135.0967,122433.0821,64215.51304,183731.9233,219056.2338,227531.1257,248030.9166,283605.9235,204443.3744,2334812.897,96393.58919,240269.507,83043.91753,96776.11185,96776.11185
O05461,1068061.835,719926.0262,793221.855,175062.8363,1122668.154,736268.2891,2219746.993,102443.1071,683273.9886,71548.44547,106921.5581,1242665.268,254711.4023,651069.4688,85630.88325,2742225.977,2742225.977,698508.9836,2792145.122,193174.8624,772974.6229,1464907.863,1087448.96,119440.0689,1276277.916,1276277.916,782232.4137,706076.119,778349.7641,150709.817,1264274.193,1503107.774,105124.7438,157275.1496,119440.0689,119440.0689,663756.1016,287678.4949,201759.3321,154469.3119,735027.2617,1135757.553,664678.7946,1345074.471,1284559.107,652444.1949,3464611.251,102832.2969,1108472.645,118573.7189,159752.174,159752.174
O05581,1842876.509,926637.5856,1107247.5,77623.8406,1936708.469,1085719.216,1190365.813,63180.01567,830017.0508,210520.2123,226791.4837,1361936.695,99054.48103,855306.4806,155196.3094,2228703.827,2228703.827,846841.0508,1701301.55,243092.6118,954026.6796,1446595.409,2037913.604,69861.864,1886333.883,1886333.883,1246720.69,853712.7472,1111503.293,70541.83015,1711302.526,994938.1012,65233.3548,119679.8491,69861.864,69861.864,353381.4539,117583.8894,97981.37664,31191.13261,918089.2027,1654162.605,789399.6697,1988994.658,218152.4125,855477.33,2341090.693,70784.50257,1454622.105,18800.51857,241766.2206,241766.2206
O05877,705378.2321,920464.2839,596067.7861,189006.154,707952.559,811461.0598,824729.2625,103105.982,512807.7137,139069.5308,299768.1114,1008389.017,476639.714,749980.836,139495.3243,891289.5753,891289.5753,512810.1947,1720776.97,223207.3358,506589.4245,1328000.567,858324.5758,177207.0657,597413.0709,597413.0709,856245.8149,732454.6437,549898.8055,109741.9296,510804.0196,1007452.344,98774.91263,201749.4884,177207.0657,177207.0657,368414.8559,522181.8213,402111.8767,205870.9097,452998.4968,951746.9437,751233.4083,852155.492,495522.5479,744906.5168,2232471.576,104262.0151,579976.9302,185564.2074,185439.636,185439.636
O06218,1003155.122,640170.6273,602910.5043,119164.0567,930052.1979,470200.3338,1248903.046,69302.68283,496706.8352,68030.14614,84908.87364,860440.9043,198284.8625,476596.9429,42711.54424,1688414.928,1688414.928,496698.0162,1830825.592,90607.66002,723558.7392,1192403.185,1254850.392,80973.99189,814588.3084,814588.3084,713231.2478,510794.5151,642687.3536,63663.25522,1219692.135,926491.4753,72093.67083,159375.0353,80973.99189,80973.99189,647430.3987,206150.9082,172497.1561,70576.52314,531803.0805,1048173.501,520596.622,1005450.636,429573.6829,487208.7296,2418163.625,97270.48862,846111.6521,111230.2184,110240.4982,110240.4982
O06319,896147.4338,737656.6259,523999.8714,33598.65793,884579.2203,482969.757,1158295.147,15067.17794,537400.8664,41087.71946,71645.73907,1225221.419,129088.5235,531173.2639,32258.91763,2404826.912,2404826.912,542498.3864,2265252.681,134001.1006,491778.3492,1046758.614,916277.5379,11959.03279,1004072.751,1004072.751,566474.809,569928.4454,507711.225,14318.23793,951025.916,632755.7906,15548.5084,83999.86015,11959.03279,11959.03279,484084.8543,149572.5513,110377.478,15003.21269,478237.5435,930175.3828,547782.7988,1065314.573,988216.9638,533525.3061,2661084.962,34661.01377,884593.0753,62938.09783,28512.49367,28512.49367
O06350,111702.2351,224445.9718,101002.3162,48108.43204,212784.6106,161240.3181,272187.2486,60330.19193,90105.74383,45698.94282,65210.4996,269359.7534,118159.8047,98417.18095,82159.00977,168396.3241,168396.3241,90063.21887,477788.3256,104314.8619,79906.88403,289501.8665,119255.6006,50018.24706,158268.2607,158268.2607,82794.06563,153656.4533,253519.7195,52438.57301,59510.24667,316933.3349,62406.47603,101552.9137,50018.24706,50018.24706,262094.6808,189825.634,126664.3863,43635.00127,121621.4845,163240.2678,136177.1673,197445.2012,113798.8627,103128.061,674298.8318,47506.30184,157457.8742,76617.21277,68419.60257,68419.60257
O06428,853203.422,468016.077,631986.8066,105765.7563,981675.4481,610084.0809,989099.8986,47411.82418,545130.9056,106447.5475,127631.4518,844488.0633,457786.724,586907.931,72852.68364,1228383.44,1228383.44,548069.3956,1204053.15,193721.0898,509707.4273,1046530.417,1052400.711,67145.34958,905375.1994,905375.1994,716687.3703,611031.7812,698783.93,64747.3641,699143.2688,742459.9102,57575.35335,129838.1903,67145.34958,67145.34958,415186.5873,514728.6168,327254.0418,72548.18501,592918.7312,821897.8618,551829.1111,924223.0654,424198.7194,583858.2198,1751468.105,71409.10361,726255.2419,57756.14557,141569.1348,141569.1348
O06543,718455.0707,388867.7015,335450.8278,20292.0421,736343.5548,289526.0139,766641.4342,14494.60722,346295.571,11361.49501,47147.83437,700365.0222,437015.1498,270343.3007,22251.48779,1224440.24,1224440.24,346522.968,950042.9411,103541.6648,372386.9922,812157.3819,737179.2271,28310.36124,770238.8566,770238.8566,458095.9667,289183.0926,412429.4069,14248.22651,827736.4157,470200.4688,16780.0158,37903.92877,28310.36124,28310.36124,290930.8305,489938.3371,252287.2078,18461.53074,386626.1196,710327.0563,300579.6406,1064215.622,282450.5142,269852.6122,1669543.898,16064.20743,733897.0709,24579.06608,58576.54859,58576.54859
O06582,115701.472,266465.8996,242256.9285,96070.71878,133682.6597,185356.2745,109848.3969,70748.82877,128760.3439,68170.0079,189140.0801,273066.8057,62978.51167,169239.331,61083.47087,350175.9265,350175.9265,129043.9349,1478284.725,168217.8602,110781.9796,494968.7858,320673.3705,120480.0414,222560.4632,222560.4632,173673.6604,249535.6223,327755.845,63927.89497,190577.363,154256.7738,63151.33977,129904.458,120480.0414,120480.0414,193874.5207,60126.6325,127231.8873,129348.1098,153939.8547,261353.4616,127215.347,145618.7658,192876.1413,221345.1178,2384859.748,75766.57473,151733.605,87305.47767,118928.0514,118928.0514
O06769,1902171.6,893252.8172,1119479.035,122292.8142,1780026.452,924179.1358,1183210.008,78006.60458,870277.0603,74354.72953,187408.4949,1233370.645,122896.2656,878429.4262,95393.35103,2454068.776,2454068.776,872780.2413,1770318.341,173649.4803,1138483.747,1180059.365,1914334.366,128467.6349,1708914.71,1708914.71,1104697.471,895508.3632,1078681.727,76406.54108,1869371.191,943021.553,75847.87458,138920.1319,128467.6349,128467.6349,289432.5889,140373.3488,184710.9704,117755.7254,956816.5037,1598948.586,838929.8281,2007765.334,263441.2775,890493.274,2311763.832,88342.59025,1514204.464,109498.667,182870.635,182870.635
O07427,1016507.369,453967.6756,849193.511,179721.6676,1139645.976,796824.0075,818184.0344,112407.7789,798006.9842,522819.1005,572205.6437,788495.966,291959.4973,637383.7404,158807.1144,1087375.271,1087375.271,815464.9842,1511486.37,506288.66,717305.6272,808644.0707,1200545.39,144171.7087,1050710.104,1050710.104,817100.0909,656519.9102,836718.2647,117793.7356,937857.1387,663030.0801,111439.7411,169337.5415,144171.7087,144171.7087,335643.8993,417437.0314,338760.8252,81112.23325,804079.0368,935872.5869,702787.0972,1130302.919,266041.8811,655712.2197,2445084.777,83789.28708,943844.4423,122927.4381,264754.8422,264754.8422
O07732,1714246.143,889948.4456,981555.1589,84489.15653,1620218.47,843968.6407,1177337.671,36619.69737,670555.843,26518.51723,98685.45845,1437301.871,133454.7426,714305.3146,50766.34827,2466465.185,2466465.185,670551.024,2266534.548,116585.7034,833214.665,1629232.63,1893423.603,20276.42063,1577113.24,1577113.24,966670.5365,710177.153,920142.1312,30676.77517,1644677.581,933658.8485,28625.37603,31265.12694,20276.42063,20276.42063,406249.7795,177095.0027,163975.5748,26943.52327,792488.8019,1498523.462,657890.2646,1805566.346,297682.0088,708612.105,3312082.213,32542.02358,1345250.73,26694.68546,101878.7815,101878.7815
O07783,977895.5235,768611.1983,1001163.698,127445.6179,1549782.871,1215306.834,1080646.552,24874.96051,932425.7478,457495.479,500697.1083,1067437.99,151615.5882,1080322.866,82720.51854,1186994.373,1186994.373,923490.2478,1232698.007,512267.4699,703690.8254,1274106.731,956270.5235,68571.62567,1003202.104,1003202.104,630411.7787,1077481.653,883333.9443,39666.07007,836608.0117,1151618.336,24242.22926,128486.6872,68571.62567,68571.62567,656099.2075,178401.6446,101900.2513,33571.68862,890010.2148,1762796.536,1023542.791,1198988.592,539835.4303,1076904.631,1702809.998,34981.23836,1392625.776,42894.46531,154648.3003,154648.3003
